,Median Rent 2016,Tract Number,Neighborhood,Location,ZIP
381,1104.0,128302,Van Nuys,"(34.18353, -118.4596295)",91411
382,1095.0,128303,Van Nuys,"(34.18356, -118.4530775)",91411
383,1095.0,128303,Van Nuys,"(34.18356, -118.4530775)",91408
384,1095.0,128303,Van Nuys,"(34.18356, -118.4530775)",91407
385,1095.0,128303,Van Nuys,"(34.18356, -118.4530775)",91404
386,1095.0,128303,Van Nuys,"(34.18356, -118.4530775)",91401
387,1265.0,128400,Van Nuys,"(34.178852, -118.461253)",91411
388,1265.0,128400,Van Nuys,"(34.178852, -118.461253)",91401
389,1464.0,128500,Sherman Oaks,"(34.1703025, -118.4443375)",91423
390,1464.0,128500,Sherman Oaks,"(34.1703025, -118.4443375)",91401
391,1133.0,128601,Valley Glen,"(34.1781255, -118.439977)",91401
392,1357.0,128602,Sherman Oaks,"(34.1712145, -118.4356065)",91401
393,1357.0,128602,Sherman Oaks,"(34.1712145, -118.4356065)",91423
394,1573.0,128702,Sherman Oaks,"(34.1600075, -118.439966)",91403
395,1573.0,128702,Sherman Oaks,"(34.1600075, -118.439966)",91423
396,1317.0,128801,Sherman Oaks,"(34.1684665, -118.46564)",91411
397,1317.0,128801,Sherman Oaks,"(34.1684665, -118.46564)",91403
398,1595.0,128802,Sherman Oaks,"(34.1684825, -118.455251)",91411
